Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2001,0.00,0.00,52388.87,0.00,0.00,21858.69,0.00,0.00,0.00,0.00,-13510.14,-4882.81,55854.61
2002,-35694.60,0.00,-6455.98,3697.23,187672.48,0.00,0.00,-191978.23,0.00,-107328.22,0.00,-10327.80,-160415.12
2003,15030.35,103617.14,-3198.35,-73687.13,0.00,0.00,-1222.77,8185.22,27886.12,-9593.65,20851.60,37180.53,125049.06
2004,7655.64,393514.68,-47496.29,4855.74,40829.20,0.00,0.00,0.00,678.19,27583.59,1581.26,117975.46,547177.47
2005,25281.00,101656.76,-6366.20,-10490.24,633094.85,-23751.04,-13223.24,13708.49,40235.08,20197.73,436757.20,0.00,1217100.39
2006,0.00,-11435.88,2345.97,109168.81,203424.25,1041399.21,-230998.18,-40187.05,7746.48,-6918.40,92123.25,93876.00,1260544.46
2007,15794.64,135049.00,267868.62,0.00,-48591.50,-7296.56,51229.42,489969.24,0.00,1472.73,12046.91,18810.53,936353.03
2008,204455.97,1537943.24,0.00,0.00,0.00,-587754.20,0.00,0.00,-103370.09,0.00,0.00,0.00,1051274.92
2009,0.00,-246945.64,0.00,0.00,14824.14,337707.22,-167781.86,-91964.82,273462.64,35144.74,1464777.67,0.00,1619224.09
2010,24173.76,109016.53,0.00,-2606.00,481248.40,0.00,840.80,-125666.25,28203.31,7199.04,124397.11,1295731.27,1942537.97
2011,0.00,-1172218.20,0.00,13712.78,705777.03,0.00,0.00,754837.01,0.00,0.00,0.00,-743212.26,-441103.64
2012,0.00,0.00,-99671.78,133705.75,1438496.29,0.00,0.00,-133494.40,548510.22,0.00,94180.76,0.00,1981726.84
2013,0.00,-124271.74,0.00,0.00,0.00,273753.98,0.00,-553332.71,0.00,1349.00,-177719.13,64593.94,-515626.66
2014,-2021.45,1594385.36,-128895.60,-288397.61,-127300.96,323964.83,644032.80,2103849.19,0.00,1094689.58,0.00,0.00,5214306.14
2015,-138027.12,-43885.29,222283.28,162606.31,1709112.04,-380463.75,-387017.50,74296.72,-34157.20,0.00,-4818.31,0.00,1179929.18
2016,-801377.02,-1408124.37,0.00,-329712.50,-61074.23,-367872.04,137333.02,158658.14,242159.59,-53032.76,-16030.98,1340696.43,-1158376.72
2017,0.00,26768.14,368445.17,461089.13,291875.58,-94655.96,424601.10,-260519.97,313125.04,4390745.87,0.00,575928.65,6497402.75
2018,-226215.30,-716951.85,-422324.09,0.00,-354302.00,1242295.40,0.00,0.00,-42607.75,-1761610.96,0.00,-440110.30,-2721826.85
2019,-333838.80,-25672.06,-148578.24,123114.19,-16112.78,193424.12,10893.17,214040.49,0.00,-211102.50,51632.96,-412165.54,-554364.99
2020,-69732.00,2635873.89,0.00,0.00,0.00,-347531.48,81568.84,-241220.25,346925.44,-33866.41,7324348.64,0.00,9696366.67
2021,-289827.27,-758466.35,-250056.75,1832241.97,1001210.28,-55613.07,953841.41,841391.11,-433786.65,4498187.11,13357064.89,0.00,20696186.68
2022,0.00,-431369.56,0.00,0.00,-1320368.15,0.00,-4764877.76,0.00,-488856.10,2225066.50,0.00,-307089.90,-5087494.97
2023,1442097.87,0.00,0.00,0.00,-57167.80,34682.56,682691.00,1686293.20,1885074.56,17563468.30,0.00,0.00,23237139.69
2024,-1002217.39,-124568.17,-3348088.67,1859992.24,275251.52,-1524543.80,-189096.39,1876598.60,22217108.00,0.00,0.00,0.00,20040435.94
